#x u 
517241.3793103444 961463.7468362971 
520376.1755485889 1042626.0860074335 
523510.9717868334 1083470.1024684273 
526645.768025078 1082416.3592010099 
529780.5642633225 1039505.6044289973 
532915.360501567 956397.1958855715 
536050.1567398115 836304.9334943568 
539184.952978056 683872.7818127936 
542319.7492163006 504995.28804757295 
545454.5454545451 306589.6400726574 
548589.3416927896 96328.17896019519 
551724.1379310341 -117658.29024243446 
554858.9341692786 -327094.9165251701 
557993.7304075231 -523882.7911813184 
561128.5266457676 -700412.1323894666 
564263.3228840121 -849856.5552718934 
567398.1191222566 -966437.0480142306 
570532.9153605012 -1045645.4460969318 
573667.7115987457 -1084418.762896019 
576802.5078369902 -1081257.635293469 
579937.3040752347 -1036284.3040086703 
583072.1003134792 -951237.8865530924 
586206.8965517237 -829407.1256028822 
589341.6927899682 -675503.213408007 
592476.4890282127 -495477.61011463386 
595611.2852664572 -296291.90096130694 
598746.0815047018 -85648.59196496662 
601880.8777429463 128306.74577960557 
605015.6739811908 337300.465114993 
608150.4702194353 533250.7845342475 
611285.2664576798 708580.3104544448 
614420.0626959243 856509.0548227874 
617554.8589341688 971316.6170722909 
620689.6551724133 1048563.3918578922 
623824.4514106578 1085262.2484757656 
626959.2476489024 1079994.043127313 
630094.0438871469 1032962.4971716999 
633228.8401253914 945986.3192263722 
636363.6363636359 822428.8757537234 
639498.4326018804 667068.1297704355 
642633.2288401249 485911.87714609783 
645768.0250783694 285965.4252984803 
648902.8213166139 74960.69814405715 
652037.6175548584 -138942.7571919357 
655172.413793103 -347473.2998434271 
658307.2100313475 -542567.0593333798 
661442.006269592 -716679.765228304 
664576.8025078365 -863078.4838730586 
667711.598746081 -976101.9807542491 
670846.3949843255 -1051379.640286633 
673981.19122257 -1086000.4774002766 
677115.9874608145 -1078625.7052549338 
680250.783699059 -1029540.5060911623 
683385.5799373036 -940643.0032407446 
686520.3761755481 -815372.0541322003 
689655.1724137926 -658533.1461651683 
692789.9686520371 -475763.6950156391 
695924.7648902816 -272221.00466926035 
699059.5611285261 -51043.466264099035 
702194.3573667706 185650.0382110134 
705329.1536050151 430604.2069958332 
708463.9498432596 663812.88918701 
711598.7460815042 854294.8237388838 
714733.5423197487 977225.2837438189 
717868.3385579932 1034235.519954246 
721003.1347962377 1053854.9847199332 
724137.9310344822 1065018.5555382664 
727272.7272727267 1066976.1717791487 
730407.5235109712 1028033.7250287929 
733542.3197492157 917803.2971053696 
736677.1159874602 741049.1827470447 
739811.9122257048 537243.0889347345 
742946.7084639493 345164.2520367871 
746081.5047021938 169073.82983623922 
749216.3009404383 -18154.592825883 
752351.0971786828 -238359.10936941305 
755485.8934169273 -476696.04877764813 
758620.6896551718 -688880.6814570061 
761755.4858934163 -839776.3863419653 
764890.2821316608 -933057.948429214 
768025.0783699054 -1001048.670513138 
771159.8746081499 -1065682.1394433992 
774294.6708463944 -1111841.139974529 
777429.4670846389 -1101231.8350232576 
780564.2633228834 -1012259.6258718198 
783699.0595611279 -863985.968745046 
786833.8557993724 -698944.3985916306 
789968.6520376169 -542796.750075818 
793103.4482758614 -383085.8978711577 
796238.244514106 -189186.10522819203 
799373.0407523505 47813.60227140351 
802507.836990595 297529.5341592731 
805642.6332288395 513789.84755487804 
808777.429467084 674815.9237394116 
811912.2257053285 798151.4672575477 
815047.021943573 914970.4855964802 
818181.8181818175 1031079.2722333982 
821316.614420062 1115857.2091738607 
824451.4106583066 1130934.9462175132 
827586.2068965511 1068572.3887991232 
830721.0031347956 959462.2645520751 
833855.7993730401 841789.2537806202 
836990.5956112846 724044.645223209 
840125.3918495291 580576.0325595707 
843260.1880877736 384355.352535117 
846394.9843260181 142269.95536457348 
849529.7805642626 -104429.38569038265 
852664.5768025072 -315268.6028841272 
855799.3730407517 -484633.20492498705 
858934.1692789962 -639293.592636627 
862068.9655172407 -802322.4956538682 
865203.7617554852 -961664.3842976394 
868338.5579937297 -1076671.4440582145 
871473.3542319742 -1115947.43676007 
874608.1504702187 -1086885.5977320888 
877742.9467084632 -1025989.5205538548 
880877.7429467078 -960251.6464602264 
884012.5391849523 -880217.5701538377 
887147.3354231968 -752987.8044394228 
890282.1316614413 -561344.3191456898 
893416.9278996858 -327678.5092618673 
896551.7241379303 -97351.94468231297 
899686.5203761748 101258.52762536498 
902821.3166144193 278313.68720848113 
905956.1128526638 463338.5293483121 
909090.9090909084 665833.3625252843 
912225.7053291529 857411.9039014677 
915360.5015673974 994533.2002233888 
918495.2978056419 1058179.1438309487 
921630.0940438864 1068992.4399903354 
924764.8902821309 1062165.8302859932 
927899.6865203754 1048637.966308612 
931034.4827586199 1003466.3122106955 
934169.2789968645 893586.4417537759 
937304.075235109 715691.0465543303 
940438.8714733535 504282.3272340121 
943573.667711598 301275.8756645945 
946708.4639498425 118907.25063733154 
949843.260188087 -65330.7671134148 
952978.0564263315 -276721.1703697564 
956112.852664576 -508275.95553037775 
959247.6489028205 -719780.7068590566 
962382.445141065 -872233.191950368 
965517.2413793096 -961753.1361151529 
968652.0376175541 -1017591.3253572593 
971786.8338557986 -1066589.4859571408 
974921.6300940431 -1101658.7073894767 
978056.4263322876 -1087537.3555749317 
981191.2225705321 -997816.3432403414 
984326.0188087766 -844291.141166535 
987460.8150470211 -667728.8866765093 
990595.6112852657 -499661.0603703555 
993730.4075235102 -335136.1802758656 
996865.2037617547 -147751.81612452952 
999999.9999999992 186954.49601021397 
